EventID,UserName,LogHost,DomainName,Status,Source,AuthenticationPackage,Time,LogonID,ParentProcessName,ParentProcessID,ProcessName,ProcessID,LogonTypeDescription,LogonType,FailureReason,Destination
2,Comp066408$,ActiveDirectory,Domain001,,Comp066408,Kerberos,124175,0xc00c852,,,,,Network,3.0,,
2,User643724,Comp317953,Domain001,,Comp186428,NTLM,125195,0x30cd2f4e,,,,,Network,3.0,,
6,User464959,Comp916004,Domain001,,,,140611,0x3e7,,,Proc811977.exe,0x1494,,,,Comp457365
7,Scanner,Comp947254,Domain001,,,,125838,0x22bf977,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119460,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
2,User113970,ActiveDirectory,Domain001,,Comp235688,Kerberos,124191,0x2f455d7e,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119062,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
4,AppService,EnterpriseAppServer,EnterpriseAppServer,,,,123421,0xc5f4880,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,125622,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
1,Administrator,ActiveDirectory,Domain001,0xc000006a,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,125477,,,,,,,,,
6,User837796,Comp317979,Domain001,,,,125837,0x3e7,,,winlogon.exe,0x298,,,,Comp457365
2,Comp916004$,Comp916004,Domain001,,Comp916004,Kerberos,139918,0x22da541d6,,,,,Network,3.0,,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,140022,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
5,User886884,EnterpriseAppServer,Domain001,,,,119518,0x20dbb56b,,,,,,,,
6,User927159,Comp581624,Domain001,,,,140404,0xd989a54,,,Proc746489.exe,0x3214,,,,ActiveDirectory
7,Comp393882$,Comp393882,Domain001,,,,139548,0x248c8626,,,,,,,,
4,User892973,ActiveDirectory,Domain001,,,,119376,0x1835d3c0,,,,,Network,3.0,,
6,User595404,EnterpriseAppServer,Domain001,,,,119044,0x412f4,,,Proc415255.exe,0x4d4,,,,Comp457365
4,User111878,ActiveDirectory,Domain001,,,,139996,0x38139829,,,,,Network,3.0,,
6,User982985,Comp916004,Domain001,,,,119281,0x3e7,,,Proc811977.exe,0x152c,,,,Comp457365
2,User282806,Comp704126,Domain001,,Comp981171,Kerberos,139571,0x4c1b5b2,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,125285,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
2,User378397,Comp567356,Domain001,,Comp109337,Kerberos,125661,0x164589cf8,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,124323,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
5,User301463,Comp022980,Domain001,,,,125933,0xf6a6da0a,,,,,,,,
2,Comp780181$,ActiveDirectory,Domain001,,Comp780181,NTLM,140691,0x31568327,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,124547,0x1dadd37b5,,,,,,,,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,124513,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
6,User927159,Comp581624,Domain001,,,,140416,0xd989a54,,,Proc746489.exe,0x3214,,,,ActiveDirectory
2,Comp022671$,ActiveDirectory,Domain001,,Comp022671,Kerberos,124063,0x18c2ffff,,,,,Network,3.0,,
6,ActiveDirectory$,ActiveDirectory,Domain001,,,,123574,0x3e4,,,svchost.exe,0x9f0,,,,Comp908480
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,123768,,,,,,,,,
4,Comp162317$,ActiveDirectory,Domain001,,,,139732,0x1a717cf9,,,,,Network,3.0,,
2,Comp916004$,Comp916004,Domain001,,Comp916004,Kerberos,140050,0x450087fd,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,124196,0x1dac00ae6,,,,,,,,
5,User154506,EnterpriseAppServer,Domain001,,,,125090,0x4e10950,,,,,,,,
7,AppService,EnterpriseAppServer,EnterpriseAppServer,,,,140250,0xde10410,,,,,,,,
7,Comp916004$,Comp916004,Domain001,,,,125332,0x409c6575,,,,,,,,
7,Comp916004$,Comp916004,Domain001,,,,120237,0x3b353d45,,,,,,,,
0,User024154,ActiveDirectory,Domain001,,,,140643,,,,,,,,,
1,User038348,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,140633,,,,,,,,,
1,User103167,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,120239,,,,,,,,,
7,Comp916004$,Comp916004,Domain001,,,,120168,0x2262868c6,,,,,,,,
4,Comp916004$,Comp916004,Domain001,,,,124748,0x227e6355a,,,,,Network,3.0,,
6,User597044,EnterpriseAppServer,Domain001,,,,139795,0x1f320ac1,,,Proc746489.exe,0x5b9c,,,,EnterpriseAppServer
2,User245540,Comp658422,Domain001,,Comp691653,Kerberos,123588,0x1e7b208b,,,,,Network,3.0,,
6,User254593,Comp916004,Domain001,,,,119445,0x3e7,,,Proc811977.exe,0x2b8c,,,,Comp457365
2,Comp868163$,ActiveDirectory,Domain001,,Comp868163,Kerberos,123600,0x2f2da90d,,,,,Network,3.0,,
2,AppService,Comp894088,Domain001,,Comp698972,NTLM,119059,0xf19c89c,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,124357,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,139957,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
6,User895589,Comp916004,Domain001,,,,139735,0x3e7,,,Proc811977.exe,0x165c,,,,Comp457365
1,Administrator,Comp167162,Domain002,0xc0000064,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,123347,,,,,,,,,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,124387,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
4,Comp916004$,Comp916004,Domain001,,,,124515,0x227cf71df,,,,,Network,3.0,,
6,Administrator,Comp520997,Domain001,,,,125746,0x1bf3d,,,Proc152044.exe,0x598,,,,ActiveDirectory
1,User915972,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,119755,,,,,,,,,
3,User430523,Comp393973,Domain001,,Comp393973,Negotiate,140130,0x3e7,,,winlogon.exe,0x2b8,Unlock,7.0,Unknown user name or bad password.,
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,124088,,,,,,,,,
4,Scanner,Comp146006,Domain001,,,,119912,0x41c747ed,,,,,Network,3.0,,
7,Scanner,Comp839399,Domain001,,,,140630,0x1494b8f,,,,,,,,
3,User802122,Comp888146,Domain001,,Comp888146,Negotiate,125369,0x3e7,,,winlogon.exe,0x788,Unlock,7.0,Unknown user name or bad password.,
6,Administrator,Comp520997,Domain001,,,,124757,0x1bf3d,,,Proc152044.exe,0x598,,,,ActiveDirectory
4,Comp031083$,ActiveDirectory,Domain001,,,,119137,0x2e742a13,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,123482,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,139550,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
2,User691333,ActiveDirectory,Domain001,,Comp935444,Kerberos,124784,0x18d97f95,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,124337,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119138,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,AppService,Comp894088,Domain001,,,,123764,0xf7c9069,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119962,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,Comp916004$,Comp916004,Domain001,,,,124983,0x227fd55e4,,,,,,,,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,140102,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
7,system,Comp370343,nt authority,,,,124840,0x3e7,,,,,,,,
4,Comp916004$,Comp916004,Domain001,,,,139940,0x22da7c049,,,,,Network,3.0,,
6,User149417,Comp916004,Domain001,,,,124858,0x3e7,,,Proc811977.exe,0xb00,,,,Comp457365
2,Comp571011$,ActiveDirectory,Domain001,,Comp571011,Kerberos,140730,0x382a0809,,,,,Network,3.0,,
6,User927159,Comp581624,Domain001,,,,124202,0xd989a54,,,Proc746489.exe,0x3214,,,,ActiveDirectory
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,124009,,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119430,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,119870,,,,,,,,,
6,AppService,Comp139547,Domain001,,,,119056,0x66e66e,,,Proc653904.exe,0x14d4,,,,EnterpriseAppServer
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,123612,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,125033,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
0,User960372,ActiveDirectory,Domain001,,,,123961,,,,,,,,,
6,User887588,Comp916004,Domain001,,,,124455,0x3e7,,,Proc811977.exe,0x15e8,,,,Comp457365
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,125305,,,,,,,,,
7,ActiveDirectory$,ActiveDirectory,Domain001,,,,139894,0x38106697,,,,,,,,
0,User168509,ActiveDirectory,Domain001,,,,140547,,,,,,,,,
7,Comp916004$,Comp916004,Domain001,,,,123623,0x227797929,,,,,,,,
6,User052211,Comp916004,Domain001,,,,124804,0x3e7,,,Proc811977.exe,0x1494,,,,Comp457365
6,User927159,Comp581624,Domain001,,,,120313,0xd989a54,,,Proc746489.exe,0x3214,,,,ActiveDirectory
6,User205312,Comp704877,Domain001,,,,119765,0x2cfca3e,,,Proc084690.exe,0x1c34,,,,Comp916004
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,124792,,,,,,,,,
2,User365039,Comp658422,Domain001,,Comp508983,Kerberos,124890,0x1ec49935,,,,,Network,3.0,,
2,Scanner,EnterpriseAppServer,Domain001,,Comp073202,NTLM,125126,0x1dbc377d,,,,,Network,3.0,,
1,User530172,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,120322,,,,,,,,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,124183,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,AppService,EnterpriseAppServer,EnterpriseAppServer,,,,124300,0xc77d67d,,,,,,,,
3,User934794,Comp244768,Domain001,,Comp244768,Negotiate,140132,0x3e7,,,Proc858929.exe,0x3e08,CachedInteractive,11.0,Unknown user name or bad password.,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,123670,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,125662,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
6,User188159,Comp512540,Domain001,,,,140729,0x3e7,,,winlogon.exe,0x9694,,,,Comp457365
7,User378309,Comp983832,Domain001,,,,139870,0xa6f1361d,,,,,,,,
6,User927159,Comp581624,Domain001,,,,140415,0xd989a54,,,Proc746489.exe,0x3214,,,,ActiveDirectory
6,User254593,Comp916004,Domain001,,,,140750,0x3e7,,,Proc811977.exe,0x2b8c,,,,Comp457365
7,Comp916004$,Comp916004,Domain001,,,,124497,0x227cdefd4,,,,,,,,
1,Scanner,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,124829,,,,,,,,,
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,125887,,,,,,,,,
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,139735,,,,,,,,,
0,User728528,ActiveDirectory,Domain001,,,,125687,,,,,,,,,
7,Administrator,Comp044849,Domain001,,,,125708,0xb5823df,,,,,,,,
1,User970699,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,125672,,,,,,,,,
2,Anonymous,Comp308604,nt authority,,Comp997249,NTLM,125775,0x8c9d95af,,,,,Network,3.0,,
2,User713733,EnterpriseAppServer,Domain001,,Comp547105,Kerberos,139654,0x280947ac,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,119564,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
7,ActiveDirectory$,ActiveDirectory,Domain001,,,,120274,0x2e998e9e,,,,,,,,
7,system,Comp646525,nt authority,,,,125706,0x3e7,,,,,,,,
4,Comp916004$,Comp916004,Domain001,,,,140487,0x585e595a,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,120327,0x226361930,,,,,,,,
1,Administrator,ActiveDirectory,Domain001,0xc0000234,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,120205,,,,,,,,,
7,Comp916004$,Comp916004,Domain001,,,,125662,0x2283ec45e,,,,,,,,
4,User500608,Comp805594,Domain001,,,,124075,0x1d807ab0,,,,,Network,3.0,,
4,Comp117966$,ActiveDirectory,Domain001,,,,124973,0xc136670,,,,,Network,3.0,,
1,User409608,ActiveDirectory,Domain001,0x0,,MICROSOFT_AUTHENTICATION_PACKAGE_V1_0,125184,,,,,,,,,
7,Comp916004$,Comp916004,Domain001,,,,119654,0x4a507e83,,,,,,,,
4,User505746,ActiveDirectory,Domain001,,,,119469,0x18388e9d,,,,,Network,3.0,,
7,Comp916004$,Comp916004,Domain001,,,,119160,0x4de6c094,,,,,,,,
4,User225320,ActiveDirectory,Domain001,,,,140154,0x38180ac8,,,,,Network,3.0,,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,120074,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,Comp065845$,Comp065845,Domain001,,Comp065845,Kerberos,124217,0x3e7,,,Proc275807.exe,0xef8,Network,3.0,An Error occured during Logon.,
3,AppService,EnterpriseAppServer,Domain001,,EnterpriseAppServer,Negotiate,124111,0x219f7,,,Proc813133.exe,0x760,Interactive,2.0,The specified account's password has expired.,
7,Comp916004$,Comp916004,Domain001,,,,123994,0x2279ef132,,,,,,,,
